year,ID
2016,127-11
2017,127-11
2018,127-11
2019,127-11
2020,127-11
2021,127-11
2022,127-11
1973,127-13
1975,127-13
1976,127-13
1977,127-13
1978,127-13
1979,127-13
1980,127-13
1981,127-13
1982,127-13
1983,127-13
1985,127-13
1986,127-13
1987,127-13
1988,127-13
1989,127-13
1990,127-13
1992,127-13
1993,127-13
1994,127-13
1995,127-13
1997,127-13
1998,127-13
1999,127-13
2000,127-13
2001,127-13
2003,127-13
2004,127-13
2005,127-13
2007,127-13
2009,127-13
2010,127-13
2011,127-13
2012,127-13
2013,127-13
2014,127-13
2015,127-13
2016,127-13
2017,127-13
2018,127-13
2019,127-13
2020,127-13
2021,127-13
1989,127-6
1990,127-6
1991,127-6
1992,127-6
1993,127-6
1994,127-6
1995,127-6
1996,127-6
1997,127-6
1998,127-6
1999,127-6
2000,127-6
2001,127-6
2002,127-6
2003,127-6
2004,127-6
2005,127-6
2006,127-6
2007,127-6
2008,127-6
2009,127-6
2010,127-6
2011,127-6
2012,127-6
2013,127-6
2014,127-6
2015,127-6
2016,127-6
2017,127-6
2018,127-6
2019,127-6
2020,127-6
2021,127-6
2022,127-6
1989,128-9
1990,128-9
1991,128-9
1992,128-9
1993,128-9
1994,128-9
1995,128-9
1996,128-9
1997,128-9
1998,128-9
1999,128-9
2000,128-9
2001,128-9
2002,128-9
2003,128-9
2004,128-9
2005,128-9
2006,128-9
2007,128-9
2008,128-9
2009,128-9
2010,128-9
2011,128-9
2012,128-9
2013,128-9
2014,128-9
2015,128-9
2016,128-9
2017,128-9
2018,128-9
2019,128-9
2020,128-9
2021,128-9
2022,128-9
1970,133-7
1971,133-7
1972,133-7
1973,133-7
1974,133-7
1975,133-7
1976,133-7
1977,133-7
1978,133-7
1979,133-7
1980,133-7
1981,133-7
1982,133-7
1983,133-7
1985,133-7
1986,133-7
1987,133-7
1988,133-7
1990,133-7
1991,133-7
1992,133-7
1993,133-7
1994,133-7
1995,133-7
1996,133-7
1997,133-7
1998,133-7
1999,133-7
2000,133-7
2001,133-7
2002,133-7
2003,133-7
2004,133-7
2005,133-7
2006,133-7
2007,133-7
2008,133-7
2009,133-7
2010,133-7
2011,133-7
2012,133-7
2013,133-7
2014,133-7
2015,133-7
2016,133-7
2017,133-7
2018,133-7
2019,133-7
2020,133-7
2021,133-7
2022,133-7
1977,138-1
1978,138-1
1979,138-1
1980,138-1
1981,138-1
1982,138-1
1984,138-1
1987,138-1
1988,138-1
1989,138-1
1990,138-1
1991,138-1
1992,138-1
1993,138-1
1994,138-1
1995,138-1
1996,138-1
1997,138-1
1998,138-1
1999,138-1
2000,138-1
2001,138-1
2002,138-1
2003,138-1
2004,138-1
2005,138-1
2006,138-1
2007,138-1
2008,138-1
2009,138-1
2010,138-1
2011,138-1
2012,138-1
2013,138-1
2014,138-1
2015,138-1
2016,138-1
2017,138-1
2018,138-1
2019,138-1
2020,138-1
2021,138-1
2022,138-1
2023,138-1
1975,139-20
1976,139-20
1977,139-20
1978,139-20
1979,139-20
1980,139-20
1982,139-20
1983,139-20
1984,139-20
1985,139-20
1986,139-20
1987,139-20
1989,139-20
1990,139-20
1991,139-20
1992,139-20
1993,139-20
1994,139-20
1995,139-20
1997,139-20
1998,139-20
1999,139-20
2000,139-20
2001,139-20
2002,139-20
2003,139-20
2004,139-20
2005,139-20
2006,139-20
2007,139-20
2008,139-20
2009,139-20
2010,139-20
2011,139-20
2012,139-20
2013,139-20
2014,139-20
2015,139-20
2016,139-20
2017,139-20
2018,139-20
2019,139-20
2020,139-20
2021,139-20
2022,139-20
2023,139-20
1989,139-25
1990,139-25
1991,139-25
1992,139-25
1994,139-25
1995,139-25
1996,139-25
1997,139-25
1999,139-25
2000,139-25
2003,139-25
2004,139-25
2005,139-25
2006,139-25
2007,139-25
2008,139-25
2009,139-25
2010,139-25
2012,139-25
