year_key,decimaldate,Qm3_s,d,ID
2010,2010.37591324201,83.614174,1,213-4
2011,2011.41095890411,37.467236,1,213-4
2012,2012.40448542805,38.03421,1,213-4
2013,2013.3894977169,59.214325,1,213-4
2014,2014.42728310502,48.444988,1,213-4
2015,2015.41586757991,27.762033,1,213-4
2016,2016.46368397086,18.124374,1,213-4
2018,2018.37305936073,38.274361,1,213-4
2019,2019.4102739726,25.748312,1,213-4
2020,2020.43385701275,64.425415,1,213-4
2021,2021.44737442922,70.419785,1,213-4
2022,2022.39965753425,56.116913,1,213-4
2023,2023.36952054795,34.248947,1,213-4
1974,1974.87211707255,105.158286982121,1,22-22
1975,1975.05673969432,107.616712913957,1,22-22
1976,1976.78431937487,244.421236704824,1,22-22
1977,1977.84057978184,88.8613573138692,1,22-22
1978,1978.23961380644,48.3434768188197,1,22-22
1980,1980.96224603446,61.5383300266418,1,22-22
1981,1981.71686066717,101.984954436295,1,22-22
1982,1982.7976447552,90.0258063915418,1,22-22
1983,1983.78901344495,107.065853974725,1,22-22
1984,1984.98162407028,117.979494908883,1,22-22
1985,1985.59545281583,71.7423231850208,1,22-22
1986,1986.65890410959,77.1912709256107,1,22-22
1987,1987.79216704718,128.088731698543,1,22-22
1988,1988.0558458561,68.0916831874819,1,22-22
1989,1989.84758181126,110.934689712217,1,22-22
1990,1990.82842465753,122.747635,1,22-22
1991,1991.00570776256,71.143684,1,22-22
1993,1993.86484018265,93.740753,1,22-22
1994,1994.25011415525,106.559669,1,22-22
1995,1995.14714611872,91.662865,1,22-22
1996,1996.7462431694,43.712467,1,22-22
1997,1997.15091324201,65.394485,1,22-22
1998,1998.81689497717,101.520599,1,22-22
1999,1999.05319634703,94.599899,1,22-22
2000,2000.86714480874,102.67009,1,22-22
2001,2001.91872146119,125.247429,1,22-22
2002,2002.81769406393,92.141968,1,22-22
2003,2003.05706811263,84.365715,1,22-22
2004,2004.76058743169,134.808716,1,22-22
2005,2005.84292237443,86.901428,1,22-22
