Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
73.4	1	1	1	FALSE	FALSE	Sælthun	789.96	1962	1971		10				
73.5	1	1	1	FALSE	FALSE	Breistøl	152	1962	1971		10				
73.6	1	1	1	FALSE	FALSE	Bergstølsfoss	203	1962	1971		10				
73.7	1	1	1	FALSE	FALSE	Ulvisbakken	261	1962	1972		11				
73.8	1	1	1	FALSE	FALSE	Dilma 1961-1968	133	1962	1972		11				
73.9	1	1	1	FALSE	FALSE	Nivla	166	1962	1972		11				
73.10	1	1	2	TRUE	FALSE	Smeddalen	157	1967	1983		17				
73.21	1	1	2	FALSE	FALSE	Frostdalen	25.74	1968	2015	1981:1993	35	1968	2014	1972:1993, 1997, 1998	23
73.27	1	1	2	FALSE	FALSE	Sula	30.32	1968	2015	1982:1991	38	1968	2015	1970:1979, 1982:1991, 1993	27
74.1	1	1	1	FALSE	FALSE	Årdalsvatn	978.68	1901	1934		34				
74.2	1	1	1	FALSE	FALSE	Tya	291	1912	1940		29				
74.18	1	1	2	FALSE	FALSE	Fornabu	53.13	1983	2015	1985, 1987:1989	29	1983	2015	1985, 1987:1990, 1993, 2006	26
75.2	1	1	1	FALSE	FALSE	Ytri bru	367	1919	1955		37				
75.20	1	1	2	TRUE	FALSE	Åstevatn	29	1967	1976	1969	9	1967	1976	1969	9
75.21	1	1	2	FALSE	FALSE	Rausdal	126	1964	1980	1971, 1973	15				
75.22	1	1	2	FALSE	FALSE	Gilja	203.43	1985	2015		31	1985	2015	1994, 2005, 2013	28
75.23	1	1	2	FALSE	FALSE	Krokenelv	45.92	1966	2015		50	1966	2015		50
75.28	1	1	2	FALSE	FALSE	Feigumfoss	48.04	1973	2015		43	1974	2015	1977, 2000	40
76.4	1	1	1	FALSE	FALSE	Leirdal	143	1963	1974	1969	11				
76.5	1	1	1	FALSE	FALSE	Nigardsjøen	65.29	1963	2015		53	2002	2015		14
76.10	1	1	2	TRUE	FALSE	Myklemyr	575.82	1979	1988		10	1985	1988		4
76.11	1	1	2	FALSE	FALSE	Vigdøla	45.45	1990	2015		26	1990	2015	1991, 2001, 2006	23
76.14	1	1	2	FALSE	FALSE	Fåbergstøl	182.96	1987	1988		2	1987	1988		2
77.2	1	1	1	FALSE	FALSE	Veitestrandsvatn 1900-1951	386	1901	1981		81				
77.3	1	1	1	FALSE	FALSE	Sogndalsvatn	110.93	1963	2015		53	1991	2015		25
77.20	1	1	2	TRUE	FALSE	Henjaelvi ved Flotande	48.14	2007	2014		8	2007	2014	2009	7
78.8	1	1	1	FALSE	FALSE	Bøyumselv	40.42	1983	2015		33	1983	2015		33
79.3	1	1	1	FALSE	FALSE	Nessedalselv	30	1984	2015		32	1984	2015		32
80.4	1	1	1	FALSE	FALSE	Ullebøelv	8.31	1967	2015		49	1983	2015	1989, 2001, 2003, 2008	29
81.1	1	1	1	FALSE	FALSE	Hersvikvatn	7.13	1934	2015		82	1977	2015		39
82.4	1	1	1	FALSE	FALSE	Nautsundvatn	218.96	1984	2015		32	2005	2015		11
83.2	1	1	1	FALSE	FALSE	Viksvatn	508.13	1903	2015		113	1985	2015		31
83.4	1	1	1	FALSE	FALSE	Eldal	169	1932	1955		24				
