"ID" "yk" "grunn"
"4800005" 1988 "tabell A2"
"4800005" 1996 "tabell A2"
"4800005" 1997 "tabell A2"
"5000001" 1978 "tabell A2"
"5000001" 1984 "tabell A2"
"5100003" 1974 "tabell A2"
"5100003" 1975 "tabell A2"
"5500004" 1992 "tabell A2"
"5500005" 1997 "tabell A2"
"5500005" 1998 "tabell A2"
"5500005" 1999 "tabell A2"
"5500005" 2000 "tabell A2"
"5500005" 2001 "tabell A2"
"600071" 2008 "tabell A2"
"600071" 2009 "tabell A2"
"6100008" 1997 "tabell A2"
"6100008" 1999 "tabell A2"
"6100008" 2010 "tabell A2"
"6100008" 2012 "tabell A2"
"6200010" 1986 "tabell A2"
"6200010" 1987 "tabell A2"
"6200010" 2011 "tabell A2"
"6200014" 1986 "tabell A2"
"6200014" 1994 "tabell A2"
"6200014" 1997 "tabell A2"
"6200014" 1998 "tabell A2"
"6200018" 1989 "tabell A2"
"6200018" 1990 "tabell A2"
"6200018" 1994 "tabell A2"
"6200018" 1998 "tabell A2"
"6200018" 1999 "tabell A2"
"6200018" 2004 "tabell A2"
"6200018" 2009 "tabell A2"
"6200018" 2011 "tabell A2"
"6300012" 1997 "tabell A2"
"6300012" 1998 "tabell A2"
"6300012" 2004 "tabell A2"
"6300012" 2006 "tabell A2"
"6300012" 2009 "tabell A2"
"6300012" 2010 "tabell A2"
"6400006" 2007 "tabell A2"
"6800002" 2005 "tabell A2"
"7000008" 1989 "tabell A2"
"7100001" 2006 "tabell A2"
"7100005" 1975 "tabell A2"
"7100005" 1977 "tabell A2"
"7100005" 2005 "tabell A2"
"7200005" 1998 "tabell A2"
"7200005" 2009 "tabell A2"
"7300021" 1972 "tabell A2"
"7300021" 1973 "tabell A2"
"7300021" 1974 "tabell A2"
"7300021" 1975 "tabell A2"
"7300021" 1976 "tabell A2"
"7300021" 1977 "tabell A2"
"7300021" 1978 "tabell A2"
"7300021" 1979 "tabell A2"
"7300021" 1980 "tabell A2"
"7300021" 1981 "tabell A2"
"7300021" 1982 "tabell A2"
"7300021" 1983 "tabell A2"
"7300021" 1984 "tabell A2"
"7300021" 1985 "tabell A2"
"7300021" 1986 "tabell A2"
"7300021" 1987 "tabell A2"
"7300021" 1988 "tabell A2"
"7300021" 1989 "tabell A2"
"7300021" 1990 "tabell A2"
"7300021" 1991 "tabell A2"
"7300021" 1992 "tabell A2"
"7300021" 1993 "tabell A2"
"7300021" 1997 "tabell A2"
"7300021" 1998 "tabell A2"
"7300027" 1970 "tabell A2"
"7300027" 1971 "tabell A2"
"7300027" 1972 "tabell A2"
"7300027" 1973 "tabell A2"
"7300027" 1974 "tabell A2"
"7300027" 1975 "tabell A2"
"7300027" 1976 "tabell A2"
"7300027" 1977 "tabell A2"
"7300027" 1978 "tabell A2"
"7300027" 1979 "tabell A2"
"7300027" 1982 "tabell A2"
"7300027" 1983 "tabell A2"
"7300027" 1984 "tabell A2"
"7300027" 1985 "tabell A2"
"7300027" 1986 "tabell A2"
"7300027" 1987 "tabell A2"
"7300027" 1988 "tabell A2"
"7300027" 1989 "tabell A2"
"7300027" 1990 "tabell A2"
"7300027" 1991 "tabell A2"
"7300027" 1993 "tabell A2"
"7400018" 1985 "tabell A2"
